Scanning 944 books for non-RAG-worthy content...
================================================================================

================================================================================
AUTOBIOGRAPHICAL (9 books)
================================================================================
  997 diagrams | Keyword: exercises             | thomas_2000_300_most_important_chess_exercises_batsford.epub
  949 diagrams | Keyword: workbook              | kuljasevic_2022_how_to_study_chess_on_your_own_workbook1_nic.epub
  889 diagrams | Keyword: puzzle                | vincent_okoye_0000_the_best_chess_puzzles_the_grand_masters_techniques.epub
  882 diagrams | Keyword: workbook              | unknown_author_2019_de_la_villa_jesus_100_endgames_you_must_know_workbook_nic.epub
  856 diagrams | Keyword: workbook              | peter_2021_everyone_s_first_chess_workbook_new_in_chess.epub
  749 diagrams | Keyword: puzzle                | alberston_0000_chess_mazes_2_the_chess_puzzle_for_everyone_scb_distributors_russell_enterprises_inc.epub
  603 diagrams | Keyword: problems              | dvoretsky_0000_chess_lessons_solving_problems_avoiding_mistakes.epub
  595 diagrams | Keyword: workbook              | todd_2021_chess_endgame_workbook_acquiring_skills_to_win_close_games.epub
  573 diagrams | Keyword: workbook              | todd_0000_chess_strategy_workbook_a_blueprint_for_developing_the_best_plan.epub
  573 diagrams | Keyword: workbook              | unknown_author_0000_chess_strategy_workbook_a_blueprint.epub
  549 diagrams | Keyword: workbook              | todd_2019_attacking_the_chess_king_workbook_patterns_and_strategies_for_successful_attacks.epub
  549 diagrams | Keyword: workbook              | todd_2019_attacking_the_chess_king_workbook_patterns_and_strategies_for_successful_attacks_chess_detective_press.epub
  534 diagrams | Keyword: workbook              | todd_2019_chess_tactics_and_combinations_workbook_winning_the_battles_between_the_pieces.epub
  532 diagrams | Keyword: test_your             | unknown_author_2018_sarhan_guliev_logman_guliev_test_your_chess_skills_new_in_chess.epub
  500 diagrams | Keyword: exercises             | cicero_2017_250_checkmate_exercises_for_improving_player1.epub
  500 diagrams | Keyword: exercises             | cicero_2017_250_checkmate_exercises_for_improving_player2.epub
  500 diagrams | Keyword: exercises             | cicero_2017_250_checkmate_exercises_for_improving_player3.epub
  495 diagrams | Keyword: puzzle                | karsten_2012_the_chess_puzzle_book_4_mastering_the_positional_principles_russell_enterprises.epub
  486 diagrams | Keyword: test_your             | franco_2014_test_your_chess_everyman.epub
  454 diagrams | Keyword: workbook              | lakdawala_2022_chess_endgame_magic_and_tacticsthe_smyslov_workbook_carstenchess_hansen_carsten.epub
  448 diagrams | Keyword: exercises             | ni_2024_winning_chess_exercises_for_kids_penguin.epub
  433 diagrams | Keyword: exercises             | bricard_2018_strategic_chess_exercises_find_the_right_way_to_outplay_your_opponent_new_in_chess.epub
  433 diagrams | Keyword: exercises             | unknown_author_2018_bricard_emmanuel_erwich_frank_kosten_anthony_cornelius_strategic_chess_exercises_find_the_right_way_to_outplay_your_opponent_new_in_chess.epub
  422 diagrams | Keyword: workbook              | rozentalis_2020_to_exchange_or_not_the_ultimate_workbook_thinkers.epub
  400 diagrams | Keyword: exercises             | cicero_2017_200_checkmate_exercises_from_tournament_games2.epub
  400 diagrams | Keyword: exercises             | cicero_2017_200_chess_tactics_exercises_from_tournament_games1.epub
  356 diagrams | Keyword: workbook              | kuljasevic_2025_how_to_study_chess_on_your_own_workbook3_nic.epub
  351 diagrams | Keyword: workbook              | unknown_author_0000_how_to_study_chess_on_your_own_workbook_vol_1_kuljasevic.epub
  321 diagrams | Keyword: workbook              | kuljasevic_0000_the_how_to_study_chess_on_your_own_workbook_volume_2.epub
  311 diagrams | Keyword: puzzle                | brennan_2013_the_world_s_easiest_chess_puzzle_book_with_carson_anthea.epub
  249 diagrams | Keyword: workbook              | aagaard_2024_conceptual_rook_endgames_workbook_quality_chess.epub
  207 diagrams | Keyword: puzzle                | adams_2020_desert_island_chess_puzzles2_gambit.epub
  123 diagrams | Keyword: puzzle                | aksanov_2020_chess_puzzles_for_kids_netboss.epub
  100 diagrams | Keyword: exercises             | cicero_2017_checkmate_exercises_for_beginners_sampler_edition.epub
    0 diagrams | Keyword: exercises             | frank_2021_chess_exercises_for_advanced_club_players_new_in_chess.epub

================================================================================
SUMMARY
================================================================================
Total books scanned: 944
Total flagged books: 181

Note: Some books may appear in multiple categories

These books might be less useful for opening/tactical RAG queries but
could still be valuable for general chess knowledge, history, and culture.
